"x","y","fips","abbr","full","county"
805894.8075649,-920587.74744896,"05121","AR","Arkansas","Randolph County"
859364.80406711,-1059787.54788521,"05123","AR","Arkansas","St. Francis County"
674069.10664859,-1125893.34730909,"05125","AR","Arkansas","Saline County"
554578.2526058,-1107032.93932408,"05127","AR","Arkansas","Scott County"
653917.44945636,-981340.59117741,"05129","AR","Arkansas","Searcy County"
521667.56005102,-1068275.98692136,"05131","AR","Arkansas","Sebastian County"
529886.14910004,-1198949.04403468,"05133","AR","Arkansas","Sevier County"
763026.48292051,-950605.95875279,"05135","AR","Arkansas","Sharp County"
700198.68375204,-984329.10600424,"05137","AR","Arkansas","Stone County"
675291.68523537,-1282408.74476209,"05139","AR","Arkansas","Union County"
676963.27260308,-1013908.8287769,"05141","AR","Arkansas","Van Buren County"
522779.43855773,-986000.64658617,"05143","AR","Arkansas","Washington County"
758563.57853181,-1043755.30979321,"05145","AR","Arkansas","White County"
798420.78214826,-1051130.50974823,"05147","AR","Arkansas","Woodruff County"
594809.96360085,-1091218.30918965,"05149","AR","Arkansas","Yell County"
-1891900.04265938,-570915.25670886,"06001","CA","California","Alameda County"
-1707759.07988126,-510123.13954493,"06003","CA","California","Alpine County"
-1795341.30184135,-505023.69619249,"06005","CA","California","Amador County"
-1823243.82708718,-354714.22933598,"06007","CA","California","Butte County"
-1788644.89680054,-539590.67533762,"06009","CA","California","Calaveras County"
-1889292.74092572,-394018.46023625,"06011","CA","California","Colusa County"
-1897526.05837861,-538526.55384563,"06013","CA","California","Contra Costa County"
-1950033.49578157,-65654.16095094,"06015","CA","California","Del Norte County"
-1759532.65417981,-478884.46121073,"06017","CA","California","El Dorado County"
-1673949.09495483,-692917.53083514,"06019","CA","California","Fresno County"
-1890150.77703741,-343098.50459876,"06021","CA","California","Glenn County"
-1993505.30574437,-212027.83581935,"06023","CA","California","Humboldt County"
-1451712.46466029,-1193977.47244848,"06025","CA","California","Imperial County"
-1548474.74834002,-798425.08319172,"06027","CA","California","Inyo County"
-1676659.11466294,-890872.5365098,"06029","CA","California","Kern County"
-1766705.31946584,-789641.59593236,"06031","CA","California","Kings County"
-1936277.30207121,-393825.62721038,"06033","CA","California","Lake County"
-1714715.36031579,-256636.79676719,"06035","CA","California","Lassen County"
-1657199.96098964,-997532.28476211,"06037","CA","California","Los Angeles County"
-1778074.90455568,-675562.40300168,"06039","CA","California","Madera County"
-1957857.09555248,-501977.01145037,"06041","CA","California","Marin County"
-1747411.35879457,-617800.05303107,"06043","CA","California","Mariposa County"
-1970753.80322427,-310333.7760165,"06045","CA","California","Mendocino County"
-1812733.14586935,-634862.70054874,"06047","CA","California","Merced County"
-1701238.02469796,-162583.05211393,"06049","CA","California","Modoc County"
-1636408.53752949,-615657.70841546,"06051","CA","California","Mono County"
-1885863.07871516,-755262.92059735,"06053","CA","California","Monterey County"
-1916799.26826027,-455883.85440322,"06055","CA","California","Napa County"
-1794642.83195899,-412549.92751082,"06057","CA","California","Nevada County"
-1642137.94047612,-1074104.41407683,"06059","CA","California","Orange County"
-1756296.54748288,-431696.35554561,"06061","CA","California","Placer County"
-1740772.90652109,-337452.62171166,"06063","CA","California","Plumas County"
-1386314.98390325,-1125619.94846536,"06065","CA","California","Riverside County"
-1830414.16310871,-492935.5960526,"06067","CA","California","Sacramento County"
-1855069.72662565,-707462.75595832,"06069","CA","California","San Benito County"
-1482221.86162497,-976467.16502653,"06071","CA","California","San Bernardino County"
-1553788.55021647,-1179178.27435542,"06073","CA","California","San Diego County"
-1947533.15070479,-540533.02100443,"06075","CA","California","San Francisco County"
-1841132.41761609,-542722.74241251,"06077","CA","California","San Joaquin County"
-1840818.23933727,-837901.95657439,"06079","CA","California","San Luis Obispo County"
-1944724.41444614,-574948.34369896,"06081","CA","California","San Mateo County"
-1813310.77796877,-922227.91449249,"06083","CA","California","Santa Barbara County"
-1899456.92312813,-609021.64728194,"06085","CA","California","Santa Clara County"
-1937881.19538025,-619983.58574058,"06087","CA","California","Santa Cruz County"
-1829066.1813582,-219255.8431438,"06089","CA","California","Shasta County"
-1719077.25500024,-390510.20903952,"06091","CA","California","Sierra County"
-1805947.08684936,-133661.63508646,"06093","CA","California","Siskiyou County"
-1887570.35139522,-501083.95324929,"06095","CA","California","Solano County"
-1965423.6835666,-434223.66052758,"06097","CA","California","Sonoma County"
-1850841.43291912,-602197.02982157,"06099","CA","California","Stanislaus County"
-1852076.07172573,-401958.2268785,"06101","CA","California","Sutter County"
-1880119.16641567,-288166.68415896,"06103","CA","California","Tehama County"
-1920702.15694417,-204505.35210248,"06105","CA","California","Trinity County"
-1669199.77527466,-785061.35285837,"06107","CA","California","Tulare County"
-1730506.4489621,-558844.97179152,"06109","CA","California","Tuolumne County"
