"x","y","order","hole","piece","group","fips","abbr","full"
1147073.27851023,-1518869.79097275,162,FALSE,1,"01.1","01","AL","Alabama"
1146029.86112647,-1523700.16683241,163,FALSE,1,"01.1","01","AL","Alabama"
1144510.90765948,-1528979.79872522,164,FALSE,1,"01.1","01","AL","Alabama"
1145621.16164603,-1539877.14660955,165,FALSE,1,"01.1","01","AL","Alabama"
1143764.78603024,-1549187.22241087,166,FALSE,1,"01.1","01","AL","Alabama"
1138066.49816558,-1549917.04667566,167,FALSE,1,"01.1","01","AL","Alabama"
1132154.29827795,-1550986.91373599,168,FALSE,1,"01.1","01","AL","Alabama"
1126360.88725403,-1546205.0073264,169,FALSE,1,"01.1","01","AL","Alabama"
1121103.50103851,-1544790.61241638,170,FALSE,1,"01.1","01","AL","Alabama"
1118375.29316723,-1547232.74338308,171,FALSE,1,"01.1","01","AL","Alabama"
1115306.31263194,-1528250.14764021,172,FALSE,1,"01.1","01","AL","Alabama"
1112102.83753468,-1507666.81365182,173,FALSE,1,"01.1","01","AL","Alabama"
1112035.05648987,-1507249.10969559,174,FALSE,1,"01.1","01","AL","Alabama"
1107378.02223567,-1478570.23860368,175,FALSE,1,"01.1","01","AL","Alabama"
1105318.76071685,-1465901.62001383,176,FALSE,1,"01.1","01","AL","Alabama"
1099785.89422449,-1432384.17813811,177,FALSE,1,"01.1","01","AL","Alabama"
1099523.58724118,-1430794.16948203,178,FALSE,1,"01.1","01","AL","Alabama"
1096174.06089371,-1410500.31959855,179,FALSE,1,"01.1","01","AL","Alabama"
1094795.12868488,-1402167.58568853,180,FALSE,1,"01.1","01","AL","Alabama"
1093117.35960261,-1392033.03336244,181,FALSE,1,"01.1","01","AL","Alabama"
1091778.85322839,-1380694.98298214,182,FALSE,1,"01.1","01","AL","Alabama"
-1491277.45092564,-1798707.50711856,183,FALSE,1,"02.1","02","AK","Alaska"
-1478951.96505872,-1792434.42092143,184,FALSE,1,"02.1","02","AK","Alaska"
-1467701.91946851,-1788318.83912322,185,FALSE,1,"02.1","02","AK","Alaska"
-1459926.86808375,-1786247.9052899,186,FALSE,1,"02.1","02","AK","Alaska"
-1459840.44193313,-1786252.25960183,187,FALSE,1,"02.1","02","AK","Alaska"
-1449498.48674187,-1786719.7885649,188,FALSE,1,"02.1","02","AK","Alaska"
-1445688.36289997,-1788795.36388689,189,FALSE,1,"02.1","02","AK","Alaska"
-1448213.03464463,-1791638.78883103,190,FALSE,1,"02.1","02","AK","Alaska"
-1449778.39398558,-1794676.52870774,191,FALSE,1,"02.1","02","AK","Alaska"
-1451355.65139603,-1796999.54298596,192,FALSE,1,"02.1","02","AK","Alaska"
-1451306.35808663,-1801200.59171225,193,FALSE,1,"02.1","02","AK","Alaska"
-1451420.70624963,-1803653.42262985,194,FALSE,1,"02.1","02","AK","Alaska"
-1453082.72444315,-1805294.42867923,195,FALSE,1,"02.1","02","AK","Alaska"
-1453088.90309719,-1807077.56054518,196,FALSE,1,"02.1","02","AK","Alaska"
-1451438.86790057,-1811891.71839179,197,FALSE,1,"02.1","02","AK","Alaska"
-1449633.97362122,-1814140.70023073,198,FALSE,1,"02.1","02","AK","Alaska"
-1445848.28735149,-1813136.34169516,199,FALSE,1,"02.1","02","AK","Alaska"
-1443572.79471908,-1813344.73987472,200,FALSE,1,"02.1","02","AK","Alaska"
-1439529.84468045,-1814984.05612412,201,FALSE,1,"02.1","02","AK","Alaska"
-1436709.27870841,-1814307.75973487,202,FALSE,1,"02.1","02","AK","Alaska"
-1432110.31822108,-1813960.37672465,203,FALSE,1,"02.1","02","AK","Alaska"
-1429931.61942897,-1816715.25611642,204,FALSE,1,"02.1","02","AK","Alaska"
-1426229.64048941,-1816477.00615154,205,FALSE,1,"02.1","02","AK","Alaska"
-1424583.21671656,-1817485.78962377,206,FALSE,1,"02.1","02","AK","Alaska"
-1420839.72621123,-1815296.59639164,207,FALSE,1,"02.1","02","AK","Alaska"
-1415485.14644011,-1818475.26796471,208,FALSE,1,"02.1","02","AK","Alaska"
-1414169.97276119,-1815922.99877425,209,FALSE,1,"02.1","02","AK","Alaska"
-1410873.13499416,-1810816.23957722,210,FALSE,1,"02.1","02","AK","Alaska"
-1409477.31005902,-1807646.11668132,211,FALSE,1,"02.1","02","AK","Alaska"
-1408236.68509836,-1806553.72139465,212,FALSE,1,"02.1","02","AK","Alaska"
-1405625.66674644,-1807053.98594106,213,FALSE,1,"02.1","02","AK","Alaska"
-1405340.26776168,-1808681.54701312,214,FALSE,1,"02.1","02","AK","Alaska"
-1403134.2765489,-1809428.32645947,215,FALSE,1,"02.1","02","AK","Alaska"
-1399298.91600734,-1808386.56360493,216,FALSE,1,"02.1","02","AK","Alaska"
-1400833.23587174,-1804191.40503195,217,FALSE,1,"02.1","02","AK","Alaska"
-1404949.42870538,-1801272.67838164,218,FALSE,1,"02.1","02","AK","Alaska"
-1409492.67120742,-1799602.74084586,219,FALSE,1,"02.1","02","AK","Alaska"
-1411666.66721256,-1799521.57087594,220,FALSE,1,"02.1","02","AK","Alaska"
-1415871.35269147,-1801684.37633464,221,FALSE,1,"02.1","02","AK","Alaska"
-1414545.56424097,-1796116.29351884,222,FALSE,1,"02.1","02","AK","Alaska"
-1414574.9816723,-1793449.18795747,223,FALSE,1,"02.1","02","AK","Alaska"
-1418368.95432861,-1787521.74366315,224,FALSE,1,"02.1","02","AK","Alaska"
-1419391.43984694,-1784110.97233624,225,FALSE,1,"02.1","02","AK","Alaska"
